RegionID,Stock_Market,Mortgage_Rate,Monthly_Supply_Of_Homes,Median_Price_Range
753899,2271.47998,6.24,9.7,500k - 550k
394463,2271.47998,6.24,9.7,225k - 250k
394514,2271.47998,6.24,9.7,125k - 150k
394974,2271.47998,6.24,9.7,200k - 225k
394692,2271.47998,6.24,9.7,150k - 175k
395209,2271.47998,6.24,9.7,350k - 400k
394856,2271.47998,6.24,9.7,250k - 275k
394347,2271.47998,6.24,9.7,175k - 200k
394404,2271.47998,6.24,9.7,300k - 350k
395057,2271.47998,6.24,9.7,550k - 600k
394532,2271.47998,6.24,9.7,125k - 150k
395025,2271.47998,6.24,9.7,300k - 350k
394976,2271.47998,6.24,9.7,200k - 225k
395078,2271.47998,6.24,9.7,300k - 350k
394865,2271.47998,6.24,9.7,200k - 225k
395056,2271.47998,6.24,9.7,450k - 500k
395121,2271.47998,6.24,9.7,125k - 150k
395148,2271.47998,6.24,9.7,175k - 200k
394358,2271.47998,6.24,9.7,250k - 275k
394530,2271.47998,6.24,9.7,225k - 250k
394982,2271.47998,6.24,9.7,100k - 125k
394998,2271.47998,6.24,9.7,250k - 275k
394458,2271.47998,6.24,9.7,150k - 175k
395045,2271.47998,6.24,9.7,300k - 350k
395055,2271.47998,6.24,9.7,125k - 150k
394943,2271.47998,6.24,9.7,225k - 250k
394466,2271.47998,6.24,9.7,125k - 150k
394475,2271.47998,6.24,9.7,125k - 150k
394735,2271.47998,6.24,9.7,125k - 150k
394775,2271.47998,6.24,9.7,250k - 275k
394492,2271.47998,6.24,9.7,125k - 150k
394705,2271.47998,6.24,9.7,100k - 125k
395059,2271.47998,6.24,9.7,650k - 700k
394355,2271.47998,6.24,9.7,175k - 200k
395194,2271.47998,6.24,9.7,200k - 225k
394902,2271.47998,6.24,9.7,150k - 175k
395005,2271.47998,6.24,9.7,250k - 275k
394862,2271.47998,6.24,9.7,150k - 175k
394714,2271.47998,6.24,9.7,175k - 200k
394849,2271.47998,6.24,9.7,125k - 150k
394935,2271.47998,6.24,9.7,100k - 125k
394807,2271.47998,6.24,9.7,125k - 150k
394669,2271.47998,6.24,9.7,200k - 225k
395022,2271.47998,6.24,9.7,200k - 225k
394910,2271.47998,6.24,9.7,150k - 175k
394425,2271.47998,6.24,9.7,100k - 125k
395012,2271.47998,6.24,9.7,175k - 200k
394388,2271.47998,6.24,9.7,125k - 150k
395053,2271.47998,6.24,9.7,200k - 225k
395031,2271.47998,6.24,9.7,100k - 125k
394640,2271.47998,6.24,9.7,125k - 150k
395167,2271.47998,6.24,9.7,200k - 225k
753924,2271.47998,6.24,9.7,350k - 400k
395169,2271.47998,6.24,9.7,100k - 125k
394619,2271.47998,6.24,9.7,250k - 275k
395238,2271.47998,6.24,9.7,225k - 250k
394415,2271.47998,6.24,9.7,400k - 450
394312,2271.47998,6.24,9.7,175k - 200k
394308,2271.47998,6.24,9.7,150k - 175k
394938,2271.47998,6.24,9.7,125k - 150k
394908,2271.47998,6.24,9.7,225k - 250k
394357,2271.47998,6.24,9.7,225k - 250k
394753,2271.47998,6.24,9.7,125k - 150k
394653,2271.47998,6.24,9.7,125k - 150k
394952,2271.47998,6.24,9.7,450k - 500k
394318,2271.47998,6.24,9.7,175k - 200k
394561,2271.47998,6.24,9.7,125k - 150k
394367,2271.47998,6.24,9.7,150k - 175k
394521,2271.47998,6.24,9.7,100k - 125k
394486,2271.47998,6.24,9.7,125k - 150k
394648,2271.47998,6.24,9.7,125k - 150k
394304,2271.47998,6.24,9.7,125k - 150k
753906,2271.47998,6.24,9.7,225k - 250k
394798,2271.47998,6.24,9.7,125k - 150k
395134,2271.47998,6.24,9.7,300k - 350k
394457,2271.47998,6.24,9.7,175k - 200k
395143,2271.47998,6.24,9.7,100k - 125k
394484,2271.47998,6.24,9.7,200k - 225k
395235,2271.47998,6.24,9.7,125k - 150k
395224,2271.47998,6.24,9.7,75k - 100k
395115,2271.47998,6.24,9.7,175k - 200k
394440,2271.47998,6.24,9.7,225k - 250k
394399,2271.47998,6.24,9.7,175k - 200k
395160,2271.47998,6.24,9.7,100k - 125k
394816,2271.47998,6.24,9.7,175k - 200k
394766,2271.47998,6.24,9.7,150k - 175k
394931,2271.47998,6.24,9.7,175k - 200k
394528,2271.47998,6.24,9.7,150k - 175k
394531,2271.47998,6.24,9.7,150k - 175k
394711,2271.47998,6.24,9.7,125k - 150k
394352,2271.47998,6.24,9.7,100k - 125k
394666,2271.47998,6.24,9.7,150k - 175k
395006,2271.47998,6.24,9.7,200k - 225k
394549,2271.47998,6.24,9.7,175k - 200k
394995,2271.47998,6.24,9.7,175k - 200k
395183,2271.47998,6.24,9.7,350k - 400k
394746,2271.47998,6.24,9.7,100k - 125k
395048,2271.47998,6.24,9.7,175k - 200k
394927,2271.47998,6.24,9.7,125k - 150k
394602,2271.47998,6.24,9.7,225k - 250k
394405,2271.47998,6.24,9.7,300k - 350k
394471,2271.47998,6.24,9.7,100k - 125k
394645,2271.47998,6.24,9.7,200k - 225k
394813,2271.47998,6.24,9.7,125k - 150k
394346,2271.47998,6.24,9.7,150k - 175k
394623,2271.47998,6.24,9.7,150k - 175k
395246,2271.47998,6.24,9.7,250k - 275k
395009,2271.47998,6.24,9.7,150k - 175k
395007,2271.47998,6.24,9.7,125k - 150k
395094,2271.47998,6.24,9.7,75k - 100k
394546,2271.47998,6.24,9.7,150k - 175k
395166,2271.47998,6.24,9.7,400k - 450
