RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020
102001,0,United States,Country,,110368,110349,110346,110369,110406,110489,110574,110705,110818,110984,111146,111347,111411,111528,111684,111977,112293,112582,112909,113206,113548,113843,114213,114616,115295,115941,116560,116951,117364,117759,118172,118667,119270,119926,120505,121016,121459,121994,122567,123220,123854,124622,125410,126112,126714,127346,128123,128940,129799,130657,131564,132516,133509,134506,135521,136586,137687,138781,139884,141045,142178,143310,144453,145653,146833,147962,149083,150245,151442,152676,153865,155029,156177,157345,158525,159725,160963,162277,163659,165093,166529,167987,169482,171033,172567,174088,175602,177085,178559,179942,181352,182786,184334,185949,187675,189383,191233,193152,195149,197155,199317,201692,204148,206621,209098,211595,214055,216653,219254,221953,224656,227515,230403,233323,236354,239419,242495,245362,247955,250263,252349,254215,256043,257770,259308,260478,261170,261501,261445,261207,260990,260625,260239,259779,259184,258413,257299,256013,254556,253168,251636,250030,248113,246175,243957,241346,238478,235390,232468,229580,226811,223867,221015,218092,215139,212056,209110,206618,204278,202018,199872,198005,196468,195106,193914,192989,192462,192105,191780,191266,190778,190469,190089,189400,188261,187024,185709,184368,182872,181554,180252,179100,177854,176564,175171,174019,173123,172435,171804,171193,170715,170198,169805,169477,169470,169653,170091,170578,171153,171790,172584,173582,174695,175955,177369,178888,180544,182311,184173,186066,188011,189999,191908,193602,195151,196544,197866,199092,200052,200793,201433,202152,202887,203478,204094,204857,205727,206654,207517,208463,209553,210637,211756,212718,213686,214718,215788,216819,217789,218877,220048,221168,222062,223011,223921,224975,225977,227032,228068,229137,230278,231361,232436,233449,234618,235873,237195,238469,239733,240995,242319,243678,245024,246349,247646,249082,250504,251817,253133,254433,255663,256629,257402,258141,258875,259545,260062,260396,260700,261097,261803,262644,263387,263766,263975,264287,264761,265431,266253,267210,268244,269318,270221,271119,272229,273858,275820
394913,1,"New York, NY",Msa,NY,166281,165908,165696,165324,165151,165002,164879,164802,164858,164976,165149,165332,165674,166281,166948,167519,167974,168523,169149,169802,170395,171016,171728,172527,173295,173887,174388,174894,175399,175961,176542,177310,178150,179147,180075,181082,181967,183008,184103,185411,186844,188348,190060,191633,193184,194531,196021,197548,199210,201099,203191,205370,207548,209767,212066,214279,216617,219008,221575,224123,226598,229302,231950,234720,237193,239595,241794,244044,246340,248885,251429,254000,256690,258734,260561,262317,264500,266749,268923,271793,274958,278233,281142,284076,287025,290404,294166,297721,301158,304898,308905,312302,314799,317003,319488,322205,325212,328394,331599,334848,338425,342019,346058,350291,355389,360402,365418,369990,374542,378860,383631,388707,393641,398325,402966,408127,413331,419010,424115,428968,433161,437082,439547,441493,443362,445905,447330,447191,445538,443134,441378,440607,439785,438931,438736,439057,439146,437549,436172,435172,435028,434939,434521,433974,433311,432480,430558,429014,426425,424616,422113,420324,418295,416049,413407,409748,405638,401426,398631,394473,391599,387808,385044,381666,378953,377186,376326,375702,375881,376255,375427,375443,375371,377031,378421,379000,379049,378324,376962,375551,374433,373993,375020,374988,374449,372741,371629,371440,371317,371080,370846,370928,370356,369416,367611,367005,366681,367019,367042,367356,367919,369103,370634,372350,374415,376168,377984,379555,381560,383785,386243,388774,391228,393571,395927,398089,400416,403110,406613,409927,412651,414409,415989,417719,419558,421308,422536,424113,426162,428485,430137,431760,433563,435853,437694,439314,440975,442746,445068,446895,447656,448048,448464,449831,451008,452519,453851,455201,456068,457022,457890,459468,461561,463218,464905,465945,467892,469782,472674,475243,478025,480737,483090,485010,486832,489662,492345,494855,496553,498088,499083,500351,502200,504018,505792,506569,506880,506663,507347,507814,508846,509127,509749,509218,507951,506417,505352,505294,505530,505798,505502,505611,505568,506251,506845,508356,510256
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,151972,152059,151913,151706,151387,151121,150911,150587,150232,149933,149724,149667,149280,148679,148299,148339,148661,148981,149452,150173,151005,151764,152492,153281,154645,156347,157990,159253,160494,161697,162713,164008,165546,167288,168938,170328,171874,173293,174770,176112,177436,179150,180942,182168,183123,184212,185816,187499,188937,190366,191984,193862,195814,197668,199545,201638,203761,205820,207774,209878,211900,214041,216103,218457,220633,222778,224649,226651,228768,231165,233414,235769,238226,240957,243820,246814,249817,253309,257351,261645,265819,270010,274576,279157,283324,287090,290855,294561,298609,302114,306542,311511,317264,322504,328513,334554,341613,348832,356502,364866,374266,384004,392238,398911,405321,411829,417306,422762,427896,433967,440056,445740,450282,454683,460726,467410,474693,481368,486710,491703,495692,499297,502255,504930,508042,510054,510419,510855,509188,508426,507004,506691,506075,505185,503811,502666,500409,498158,493919,488509,481662,474857,469989,464611,458878,450445,441522,431132,420957,412657,405930,399841,395394,390474,384363,375436,368851,365497,363065,360071,357121,354353,352642,352374,352675,353157,354153,356846,357274,355514,354549,355483,358088,356740,354192,350271,347038,343747,339657,336852,335084,334293,332036,329153,324229,322476,320920,319540,316774,314049,313268,311744,310230,308313,307226,306585,307287,308015,309618,311431,314097,317855,320908,325251,329442,336129,343441,351939,359541,367162,374029,381981,389065,394631,399484,402914,406837,407948,408677,408404,408900,409211,410086,409305,409207,409522,411712,413737,416421,419582,422875,424633,426493,428297,430415,432934,435594,438521,440441,443885,445465,447782,448845,451859,454370,456644,458761,461575,464554,467289,469298,470576,473701,476053,479170,481017,484053,487254,490188,492602,495092,497749,502168,506405,509766,512892,516168,519863,522920,526004,527927,528572,528102,528737,529242,528918,528051,525947,523852,522971,525096,527906,528938,528499,528962,530422,531484,533095,535224,538664,542074,544702,545241,545376,547708,552133,556608
394463,3,"Chicago, IL",Msa,IL,140794,140575,140322,140080,139710,139556,139196,139770,140463,141882,142919,143765,144076,144153,144351,144308,144532,144400,144306,142563,140597,137581,135347,133677,133156,133243,133365,133487,133554,133631,134112,135220,136668,138421,140048,141356,142045,142494,142985,143628,144217,145128,146116,147126,147876,148748,149727,150739,151885,153029,154227,155349,156465,157507,158428,159502,160734,162053,163351,164630,165895,167002,168160,169345,170667,172000,173341,174684,176029,177412,178788,180099,181280,182500,183817,184971,186245,187391,188718,189975,191222,192407,193319,194401,195472,196729,197776,198902,199768,200561,201286,202137,203106,204048,205172,206101,207246,208226,209273,210446,211653,213151,214436,215749,216836,218007,219326,220770,221994,223230,224447,225784,227083,228445,229851,231184,232723,234234,235499,236633,237677,238839,239749,240750,241599,242246,242574,243004,243224,243440,243414,243671,244100,244911,244703,244564,243408,243248,242307,242099,241240,240957,240639,240217,239729,237187,236860,234082,234057,231074,230562,227883,226986,224526,222833,219661,216385,213991,211275,209994,207662,206485,205414,204758,203147,201792,200217,200131,199598,199760,198094,197634,195568,194983,191632,189741,187106,185639,183053,180731,178405,176445,174832,172553,171041,168660,167760,166064,164973,162496,161120,159125,157782,155423,154511,153530,153093,152190,151245,150331,149589,149761,150259,150729,151573,152727,153546,154541,155381,156990,158548,160588,162355,164416,165523,166976,167821,169057,169686,169950,170587,171591,172658,173324,174208,174836,175701,176318,176900,177208,177969,179375,180472,180836,180979,181267,181669,182008,182446,183121,183868,185168,186127,186797,187278,188018,189169,190156,190891,191600,192507,193511,194670,195615,196968,198090,199063,199699,200251,201027,201929,202879,203795,204829,206036,206768,207019,207255,207887,208781,209319,209774,210166,210591,210963,211205,211055,211119,211278,211929,212630,213223,213542,213572,213261,213072,212809,212857,213105,213499,214056,214384,214593,214892,215659,216746,218214
394514,4,"Dallas-Fort Worth, TX",Msa,TX,98509,98263,98422,98923,99476,99759,99407,99563,99469,99861,99665,99751,99764,100242,100231,99844,99218,98968,99334,99197,99674,99526,99889,100019,99925,99883,100049,100175,100647,101004,101795,102227,102228,102097,102419,102544,103183,103440,104061,104408,104494,104752,104794,104972,105024,105288,105554,105603,105704,106085,106265,106321,106347,106501,106767,106911,106965,106949,106695,107220,107638,107344,107059,107185,107915,107719,107586,107593,108057,108248,108461,108362,107935,107959,107646,107677,107473,108213,108738,109124,109301,109666,110002,110330,110228,110374,110492,110563,110336,110244,110348,110612,110914,111641,112624,113169,114335,115569,117476,118807,119518,119763,119681,120134,120264,120337,120017,120164,120774,120658,120536,119866,120255,120532,121308,121557,121879,121554,121659,121594,121666,122341,122668,123115,123071,123239,122965,122697,122816,123733,124009,124216,123895,123624,123284,123682,124355,124706,124970,125259,125709,125714,126445,126739,126878,125754,125052,124039,123224,122591,122485,122390,121672,120591,118735,117719,116890,117461,117698,118168,118427,118451,118280,117673,117543,117488,118099,118160,118031,117456,116849,116344,115701,115279,114340,113633,112594,112017,111200,110735,110312,109643,108915,107968,107117,106257,105644,105493,105585,105582,105360,104879,104575,104760,105144,105409,105586,105832,106530,106836,107062,107073,107528,108182,109019,109562,110085,110802,111743,112746,113875,115117,116372,117435,118251,118999,119476,120196,120885,121504,121878,122458,122299,122810,123221,124300,125132,126022,127278,128425,129820,131273,132872,134235,135798,136856,137978,139098,140514,142033,142958,143877,144671,145866,147311,148793,150687,152254,154123,155692,157505,159067,160582,162111,163760,165739,167734,169644,171186,171959,172918,174270,176279,178375,180252,182361,184057,185140,185994,186846,187687,189033,189114,190178,190574,192329,193506,194587,195269,195821,196422,197269,198188,199183,200886,201647,202406,202055,202256,202322,202799,203495,204132,204443,204622,204515,204311
394974,5,"Philadelphia, PA",Msa,PA,99610,99415,99233,98921,98697,98564,98475,98396,98345,98340,98433,98511,98575,98632,98783,98952,99113,99236,99357,99474,99598,99687,99726,99792,99914,100091,100213,100334,100394,100427,100456,100592,100771,101001,101133,101308,101476,101747,102107,102455,102784,103094,103444,103762,104056,104370,104856,105443,106101,106774,107273,107771,108291,108920,109511,110025,110590,111195,111783,112369,112941,113576,114325,115125,115904,116629,117424,118292,119165,120020,120961,121838,122788,123713,124816,125954,127126,128318,129539,130881,132404,134023,135605,137253,138876,140576,142175,143819,145468,147155,148825,150502,152202,153981,155763,157410,159014,160756,162586,164459,166301,168257,170330,172541,174569,176355,178153,180278,182735,184820,186772,188612,190832,193136,195532,197856,200197,202628,204956,207054,208641,210169,211548,213063,214299,215482,216409,217190,217800,218102,218189,218232,218495,218699,219012,218951,219213,219175,219317,219035,218745,218562,218485,218289,217698,217309,216604,216219,215166,214243,213000,212035,211073,210010,208821,207526,206383,205343,204848,204160,203658,202795,202094,201504,201210,201214,201456,201770,202038,201983,201375,200875,200437,200361,200015,199175,197851,196205,194530,192881,191488,190431,189548,188381,187017,185668,184521,183828,183226,182925,182374,181929,181225,180465,179940,179678,179336,178721,178073,177712,177567,177347,177249,177265,177489,177461,177454,177694,178551,179569,180508,181054,181483,181807,182263,182419,182605,183032,183265,182948,182378,182091,182168,182102,182033,182063,182172,182578,182806,182953,183191,183700,184002,183864,183671,183723,183935,184036,184076,183816,183641,183657,183637,183733,183917,184601,185075,185531,185842,186213,186533,187031,187804,188372,188877,189320,189950,190456,190903,191324,191736,192415,193064,193881,194353,195108,196078,197085,197815,198293,198767,199220,199794,200309,201020,201547,202232,202816,203613,204114,204900,205466,206160,206465,206640,206856,207148,207613,208161,208804,209330,210210,211095,212419,213808,215671,217752
394692,6,"Houston, TX",Msa,TX,94554,94992,95049,95441,95596,95785,95807,95903,95895,96214,96673,97156,97226,96663,96481,95987,95912,95670,95846,95692,95640,95152,94692,94145,94167,94561,95025,95691,96119,96621,96838,97438,97994,98479,98591,98803,99001,99688,99838,100252,100587,101013,101008,100860,100860,101058,101155,101316,101420,101321,101556,101292,101247,100894,101470,101558,101677,101218,101797,101750,101805,101460,101206,101085,100680,100763,100449,100286,100195,100734,100493,100651,100310,100704,100497,101184,101820,102429,102981,103249,103553,103313,103824,103891,104398,104128,104208,103567,102964,102974,102648,103258,103084,103181,102838,103169,103499,104001,105195,106079,107236,107178,107681,107619,107930,108708,108857,109024,108954,109594,109724,109862,109593,109629,109682,110000,110224,110096,110216,110734,111363,111635,111391,111267,111653,112107,112605,112482,112846,112903,113487,113362,113619,113134,113240,113502,113697,113526,113005,112928,113139,113255,113427,113209,112702,112196,111756,111279,110687,110403,110234,110071,109451,109080,108171,107560,106946,107034,106907,106773,106540,106572,106683,106669,106495,106196,106251,106380,106392,106141,105950,105692,105378,104655,103700,102545,101711,101119,100765,100307,99799,99151,98422,97957,97744,97760,97797,98051,98273,98417,98051,97907,97819,98062,98279,98388,98313,98281,98561,98917,99170,99405,99888,100391,101079,101726,102694,103721,104878,105894,106798,107642,108561,109538,110552,111503,112378,113360,114060,114887,115629,116700,117830,119242,120660,121910,123081,124270,125525,126481,127711,128737,129859,130660,131281,131892,132510,133427,133895,134286,134873,135726,136322,136599,136940,137432,138111,138279,138381,138271,138952,139672,140050,140231,140483,140986,141314,141637,141849,142125,142316,142596,142944,143403,143795,144065,144434,145192,146029,146622,147134,147768,148511,148951,149189,149473,150196,150853,151100,151004,151014,151511,152049,152562,152460,152496,152413,152635,152639,152823,153323,153914,154483,154859,155322,155816,156829
395209,7,"Washington, DC",Msa,DC,126003,125765,125618,125293,125058,124807,124554,124372,124300,124319,124287,124291,124068,123894,123612,123548,123458,123387,123410,123313,123170,122952,122903,122872,123094,123317,123600,123675,123650,123658,123553,123683,123696,123760,123643,123578,123671,124025,124475,124886,125341,125910,126588,126980,127536,128051,128922,129623,130388,130936,131572,132205,132913,133592,134426,135543,136726,137989,139113,140557,141962,143410,144829,146424,148156,149837,151476,153092,154777,156506,158378,160254,162192,164015,165923,167898,170046,172335,174766,177303,179735,182181,184699,187240,189659,192376,195052,197718,200033,202451,204707,207077,209576,212582,215648,218820,221925,225304,228748,232443,236423,240861,245962,251212,256825,261807,266714,271354,276459,281202,286110,291480,297473,303295,308524,313246,317793,322198,325878,329044,331520,333912,336235,337295,337367,336815,336060,335095,332901,330791,329148,328252,327401,326703,325717,325130,324246,322994,321462,319733,318518,316740,314551,311670,309238,306244,302956,298907,294623,290259,286506,283239,280333,277400,274617,271800,268021,264555,261298,259064,257515,256710,255741,254692,253539,253020,252740,252664,253161,253142,253601,253907,254504,254340,253813,253174,252448,251405,250064,249386,248976,249324,248576,247610,245952,244879,243828,243013,242379,241900,241820,241201,240587,239955,240471,241247,242303,243408,244895,246161,247129,248383,249665,251383,253063,254596,255943,257284,259211,261026,262587,264368,266403,268180,269734,270836,272112,273212,274100,274748,274627,274373,274393,274396,274467,274269,274254,274188,273742,273944,274276,274601,274664,274937,275303,275576,275681,276114,276361,276866,277402,277075,276818,276758,277770,278321,278572,278695,279189,279641,280312,281028,282019,283343,284077,284751,284603,285079,285686,286631,287411,288199,289015,289451,289775,290237,291225,292070,293318,294394,295601,296238,296625,297015,297219,298080,299197,300453,301687,302717,303990,304850,305410,306317,307482,308945,310348,311660,312867,313972,315081,316562,317925,319712,321773,323900,326104
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,82501,82584,82681,82836,82969,83171,83386,83572,83638,83704,83801,83921,83830,83798,83788,84037,84266,84454,84615,84772,84947,85064,85178,85333,85891,86354,86729,86700,86738,86564,86433,86413,86832,87351,87757,88009,88036,88090,88157,88397,88674,89282,89844,90352,90383,90436,90610,90874,91225,91653,92212,92794,93268,93685,94077,94450,94949,95464,96097,96787,97506,98250,99062,99937,100939,101951,103121,104375,105784,107241,108611,109876,111066,112245,113341,114483,115648,116915,118231,119641,120972,122323,123683,125395,127136,128976,130786,132686,134436,136018,137481,138973,140634,142367,144280,145944,147886,149762,151812,153679,155850,158219,160756,163462,166251,169261,172273,175652,178896,182427,185968,189561,193417,197538,202214,206763,211286,215364,219028,222267,225707,228717,232207,236064,239619,242371,243970,245192,246033,246264,246829,246745,246620,245945,244689,242581,240005,237118,234335,231588,228739,226259,222869,219672,215099,210673,205495,200625,195924,191603,187193,182317,177117,171789,166845,162339,158276,154379,150709,147278,143817,140844,137948,135532,133370,131767,130305,128628,127343,126359,125712,124855,123968,122717,121672,120496,119469,118081,116844,115881,114842,113842,112819,112103,111460,110910,110425,110133,109924,109982,110234,110457,110763,110936,111283,111714,112463,113582,114622,115830,117138,118585,119759,121062,122640,124666,126763,129124,131333,133343,135420,137527,139658,141515,143853,146049,148193,149605,151095,151951,153059,153892,155159,156187,157164,158294,158787,159524,159963,161039,161800,162799,163537,164456,165021,165729,166632,167488,168701,169630,170787,171679,172654,173614,174610,175823,177005,177978,178659,179315,180160,181091,182030,182764,183283,183931,184570,185191,185719,186596,187482,188471,188783,189285,189500,190307,191261,192059,192892,193424,194229,194707,195148,195279,196153,196905,197680,197362,197368,197451,197715,198232,198732,199013,199006,199201,199429,199609,199910,200837,201521,202240,202850,203457,204021,204917,206140
394347,9,"Atlanta, GA",Msa,GA,95515,95731,95957,96452,96947,97522,98068,98624,99154,99677,100255,100820,101248,101710,102216,102881,103477,103977,104489,105050,105672,106368,107022,107712,108684,109664,110607,111240,112056,112872,113760,114603,115512,116417,117376,118401,119445,120527,121675,122852,124040,125318,126759,128240,129649,131019,132305,133566,134574,135639,136758,138098,139374,140618,141814,143014,144248,145420,146485,147488,148512,149566,150536,151419,152263,153026,153697,154328,154902,155525,156170,156820,157387,157831,158132,158451,158736,159090,159324,159489,159675,159907,160286,160526,160803,160928,161237,161382,161514,161561,161737,161938,162143,162225,162236,162364,162499,162846,163067,163437,163711,163900,164091,164347,164642,164923,165137,165318,165589,165851,166200,166531,166944,167449,167650,167905,168103,168478,168909,169286,169717,170003,170102,169996,169822,169807,170097,170294,170522,170676,170888,171087,171338,171699,172207,172541,172691,172610,172471,172235,171715,171055,170348,169957,169234,168003,166564,165383,164680,163786,162667,161476,160430,159339,157712,155449,153138,151327,149659,147784,145878,144362,143504,142577,141984,141111,140671,140166,139677,138896,138130,137861,137557,136734,134943,133004,130568,128629,126563,125386,124020,123020,121415,119700,117514,115676,114314,113616,113413,113136,112717,111750,110973,110227,110148,110058,110298,110751,111251,111401,111113,111005,111500,112234,113391,114445,115788,117237,118900,120678,122465,124508,126744,128784,130491,132218,133704,135339,136556,137601,138437,139006,140060,140985,142092,143080,144079,145168,146091,146834,147515,148561,150048,151692,152772,153783,154835,155839,156941,157607,158875,160111,161887,163422,164558,165272,165789,166512,166897,168096,169405,171319,172604,174121,175377,176508,177602,179110,181011,182771,184908,186565,188085,189578,191431,193343,194804,196190,197787,199611,201319,202760,204076,205565,206955,207843,208497,208645,209160,209864,211258,211775,212100,212234,212618,212839,213157,213752,214437,215408,216367,217253,217525,218289,219191,220435,221515
