RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020
102001,0,United States,Country,,107509,107541,107597,107733,107887,108065,108240,108461,108687,108953,109212,109491,109686,109930,110190,110521,110853,111167,111503,111800,112111,112390,112742,113129,113698,114221,114724,115064,115434,115814,116224,116686,117205,117762,118238,118663,119027,119500,120026,120651,121247,121920,122605,123230,123792,124345,125007,125700,126418,127128,127839,128563,129284,129980,130673,131410,132186,132970,133773,134606,135431,136193,136946,137707,138478,139224,139954,140691,141433,142187,142913,143625,144337,145083,145847,146607,147376,148185,149034,149900,150758,151642,152560,153510,154443,155360,156261,157168,158086,158983,159889,160859,161919,163030,164131,165229,166390,167659,169011,170370,171803,173298,174887,176444,177995,179525,181082,182708,184383,186054,187692,189408,191140,192953,194777,196623,198464,200206,201881,203394,204745,205975,207172,208304,209349,210225,210923,211461,211807,212071,212244,212362,212463,212516,212519,212437,212187,211791,211239,210709,210069,209341,208437,207478,206355,205009,203480,201823,200198,198551,196909,195129,193426,191715,189949,188118,186335,184840,183397,181991,180610,179428,178518,177764,177118,176613,176415,176332,176284,176105,175978,175959,175899,175641,174980,174183,173254,172346,171335,170380,169428,168522,167571,166551,165540,164662,164062,163627,163313,162962,162647,162344,162145,162029,162109,162349,162736,163146,163605,164119,164705,165380,166160,167010,167959,168957,170058,171200,172407,173669,174966,176265,177525,178725,179805,180807,181743,182649,183366,183960,184497,185091,185672,186182,186680,187260,187969,188712,189426,190156,191007,191893,192789,193589,194381,195225,196100,196956,197728,198578,199505,200462,201316,202205,203112,204091,205097,206114,207139,208171,209276,210358,211420,212461,213575,214733,215882,217036,218139,219264,220430,221660,222927,224181,225385,226621,227865,229139,230428,231668,232815,233794,234642,235461,236297,237175,238053,238850,239551,240241,241127,242124,243023,243663,244162,244764,245447,246264,247157,248174,249345,250597,251788,253017,254490,256369,258552
394913,1,"New York, NY",Msa,NY,190242,189798,189517,188973,188640,188336,188151,188059,188102,188227,188344,188482,188748,189355,190066,190735,191229,191851,192467,193072,193569,194060,194776,195600,196504,197100,197562,197976,198517,199100,199675,200479,201492,202729,203827,204982,205937,207119,208386,210017,211792,213656,215761,217615,219434,221051,222922,224861,226952,229222,231654,234061,236358,238662,241013,243399,245791,248163,250573,252930,255276,257723,260128,262653,265131,267672,270058,272466,274929,277713,280501,283287,286106,288830,291469,294147,296939,299994,303184,306936,310919,314908,318744,322750,326727,330773,334994,339003,342883,346451,350072,353435,356533,359494,362619,365823,369458,373069,376845,380390,384344,388509,393071,397589,402260,406990,411781,416302,420616,424717,428783,433541,438364,443153,447576,452147,456950,461837,466416,470978,474863,478587,481218,483466,485176,487008,488300,488716,488372,487070,485542,483655,481973,480582,480303,479601,479074,477364,475677,473914,472014,470772,469381,467872,466380,464436,461883,459147,455448,452209,448792,445933,442905,439474,435867,432432,428558,424703,420981,417603,415009,412260,409808,407236,405559,404515,404093,403919,403845,403915,403516,403282,402769,403012,403118,403193,402508,401224,399618,397668,396245,394858,393873,392292,390617,388366,386381,384507,382901,381451,379838,378457,376967,375537,374300,373324,372773,372535,372351,372217,372106,372072,372449,373056,373631,374432,375243,376657,378167,379700,381329,382945,384740,386713,388623,390279,392109,393645,395287,396312,397329,398243,399055,399888,400599,401223,401577,402256,402896,403911,404536,405436,406126,407088,407906,408692,409525,410397,411763,412833,413596,414234,415096,416386,417428,418420,419506,420809,422238,423762,425272,426909,428859,430530,432365,433656,435894,438160,440893,443323,445497,447370,449013,450661,452730,455136,457694,460265,462417,464374,465525,466590,467651,469184,470717,472008,472667,473127,473576,474230,475079,476019,476790,477104,476535,475930,475504,475994,476831,477932,479203,480703,482357,484339,487076,490631,495329
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,190543,190841,190875,191020,191023,191088,191237,191227,191154,191095,191110,191281,190987,190438,190135,190390,190978,191505,192158,193109,194178,195211,196177,197253,199021,201205,203252,204773,206192,207548,208621,210029,211759,213693,215563,217047,218822,220383,222083,223568,225070,227139,229384,230920,232081,233413,235374,237429,239156,240884,242845,245120,247485,249679,251830,254221,256610,258881,261019,263314,265520,267856,270057,272582,274852,277092,279046,281180,283480,286183,288716,291454,294260,297457,300840,304455,308105,312356,317271,322474,327538,332640,338235,343855,348971,353548,358145,362653,367586,371814,377176,383191,390160,396440,403674,410887,419516,428299,437687,447816,459223,471110,481256,489722,498030,506554,513772,521005,527741,535855,543957,551881,558445,564945,573415,582586,592477,601700,609318,616551,622528,627863,632396,636379,640988,644236,645494,646719,645139,644577,643205,643021,642302,641062,639206,637652,634606,631772,626560,619914,611228,602416,595662,588197,580477,569512,557794,543489,529268,516796,506026,496561,489289,481540,472263,460535,451984,447558,444220,440973,438160,435622,434566,434640,435782,437427,440422,444723,446007,444641,444507,446764,450655,450174,448028,444590,441820,438823,434593,431766,430396,430041,428021,425062,419872,418497,417528,416664,413934,411278,410966,410102,408934,407341,406648,406741,408509,410264,413101,416025,420036,425310,429731,435503,441194,449922,459222,469445,478326,486949,494495,503351,511175,517161,522291,525873,530014,530763,531070,530480,530909,531395,533034,532889,533498,534215,537199,539867,543371,547490,551826,554358,557024,559746,562531,565730,569035,573030,575718,580402,583013,586461,588362,592527,596178,599393,602165,605797,609739,613575,616432,618204,621861,624522,628222,630500,634266,638060,641620,644566,647509,650465,655495,660596,664856,669028,673071,677499,680888,684463,686365,686574,685469,686037,686710,686309,685151,682331,679819,679157,682823,687456,689574,689727,690677,693137,695036,697864,701500,706956,712485,716996,718724,720013,724610,732217,740366
394463,3,"Chicago, IL",Msa,IL,167002,166692,166282,165813,165186,164844,164347,164922,165753,167457,168806,169807,170097,170037,170191,170036,170201,169917,169592,167102,164050,159596,156150,153656,152740,152619,152550,152524,152458,152377,152709,154180,156309,159099,161465,163268,164092,164567,165052,165722,166288,167252,168275,169251,169881,170602,171497,172454,173673,174928,176208,177342,178459,179536,180582,181753,183034,184316,185651,187044,188397,189541,190699,191942,193360,194684,195845,196975,198165,199517,200831,202021,203062,204192,205488,206599,207784,208944,210436,211846,213188,214441,215541,216859,218150,219622,220929,222376,223574,224663,225671,226913,228378,229787,231226,232479,234001,235380,236804,238299,239914,241809,243570,245318,246794,248393,250145,252065,253793,255580,257325,259236,261139,263160,265145,267036,269111,271155,273013,274695,276173,277702,278963,280252,281328,282236,282883,283590,284095,284519,284736,285107,285666,286404,286173,285904,284700,284276,283111,282583,281393,280631,279690,278608,277631,274765,273924,270711,269856,266265,264764,261306,259390,256045,253326,249373,245216,242115,238676,236507,233389,231195,229261,227729,225633,224034,222574,222430,221791,221599,219895,219717,218175,218206,215473,214117,211873,210743,208325,206341,204311,202767,201390,199110,197711,195491,195165,193882,193326,191090,190113,188306,187430,185457,185143,184624,184679,184110,183250,182517,181893,182395,183135,183922,184905,186167,187008,188280,189222,191028,192705,195009,196969,199193,200327,201783,202568,203864,204414,204619,205089,206023,207016,207487,208142,208456,209137,209572,210003,210107,210758,211853,212849,213038,213240,213499,213882,214173,214563,215191,215949,217189,218179,218979,219576,220430,221549,222581,223424,224238,225275,226427,227749,228840,230179,231345,232405,233102,233620,234342,235228,236424,237531,238764,239927,240790,241273,241839,242638,243734,244468,245091,245602,246040,246459,246711,246817,247143,247539,248218,248897,249472,249821,249853,249418,249044,248682,248769,249027,249405,250016,250560,251157,251896,253169,254873,257160
394514,4,"Dallas-Fort Worth, TX",Msa,TX,115301,115374,115539,115865,116215,116467,116657,116880,117111,117450,117795,118134,118192,118276,118299,118476,118582,118789,119017,119282,119577,119930,120213,120575,121044,121511,121887,121998,122221,122474,122866,123229,123609,123539,123540,123458,124066,124869,125886,126874,127716,128584,129365,129901,130260,130973,131839,132671,132993,133326,133579,133830,134014,134188,134376,134676,135130,135593,136009,136397,136634,136457,136267,136159,136330,136351,136425,136645,136867,137023,137062,137213,137438,137878,138263,138774,139245,139953,140667,141283,141780,142223,142740,143290,143545,143552,143320,143228,143319,143578,143833,144066,144372,144793,145218,145538,146274,147657,149677,151305,152216,152568,152895,153371,153831,154341,154771,155292,156056,156313,156308,156116,156330,156758,157180,157604,157968,157915,158060,158039,158296,158769,159223,159685,160095,160537,160817,160901,161021,161662,162075,162524,162524,162459,162432,162564,162784,162954,163108,163483,164014,164358,164473,164475,163782,162746,161440,160572,159844,159318,158990,158497,157686,156710,155816,155136,155012,155334,155774,155849,155794,155555,155483,155393,155552,155715,156296,156624,156681,156459,156240,156386,156295,156255,155542,154813,153859,153153,152253,151763,151419,150857,150238,149306,148762,148107,147949,147960,148200,148283,148185,147861,147693,148147,148716,149359,149762,150293,150896,151433,151914,152357,153015,153754,154657,155300,156138,157032,158117,159206,160378,161538,162875,164216,165559,166762,167706,168732,169594,170470,171295,172290,173041,174109,175049,176320,177529,178860,180419,181915,183631,185289,187024,188739,190544,192118,193605,194993,196539,198252,199865,201489,203055,204805,206695,208491,210487,212206,213975,215643,217501,219411,221093,222844,224344,226062,227669,229342,230793,232318,234083,236044,237836,239349,240758,242433,244286,246029,247480,248882,250072,251158,251852,252828,253880,255332,256633,257486,257924,258256,258903,259390,259884,260258,260920,261272,261684,261903,262368,263061,264089,265245,266371,267684,269203,270938,272699
394974,5,"Philadelphia, PA",Msa,PA,122451,122298,122159,121920,121759,121666,121620,121596,121640,121728,121855,121957,122087,122257,122488,122740,122992,123230,123441,123603,123716,123801,123931,124116,124318,124519,124711,124858,124928,124976,125054,125303,125590,125940,126140,126346,126511,126752,127043,127407,127821,128244,128722,129101,129471,129800,130365,131049,131813,132553,133164,133780,134340,134933,135446,135951,136496,137130,137711,138315,138933,139665,140465,141243,142016,142773,143619,144441,145300,146137,147144,148030,149012,149964,151116,152303,153481,154713,155932,157402,158963,160668,162227,163968,165630,167378,168968,170660,172361,174055,175774,177442,179252,181066,183021,184752,186520,188359,190431,192562,194806,197169,199723,202430,204961,207231,209390,211840,214605,217100,219380,221527,223984,226640,229352,232038,234696,237470,240110,242615,244641,246536,248149,249804,251152,252396,253356,254144,254724,255078,255277,255298,255383,255418,255675,255734,256125,256258,256457,256180,255915,255685,255447,255082,254391,253920,253256,252609,251300,249826,248200,246782,245380,243836,242332,240874,239534,238340,237368,236497,235532,234579,233666,233084,232705,232772,233018,233146,233231,232885,232467,232073,232090,232208,231974,231134,229890,228339,226630,225138,223883,222957,221812,220343,218587,216900,215619,214742,213925,213149,212363,211703,210823,209913,209287,209013,208746,208259,207672,207261,207083,207021,207059,207090,207326,207562,207921,208431,209193,210101,211015,211779,212566,213215,213826,214215,214676,215145,215375,215164,215108,215220,215482,215447,215392,215496,215772,216166,216391,216589,216979,217568,217908,217998,218132,218533,218911,219049,219092,219079,219223,219511,219781,220213,220700,221545,222254,222961,223557,224312,225065,226005,227017,227838,228411,228880,229576,230282,230927,231652,232465,233565,234561,235534,236313,237405,238834,240256,241354,242116,242833,243386,244052,244641,245520,246257,247097,247753,248758,249455,250368,250953,251716,252178,252463,252793,253201,253858,254639,255601,256360,257555,258870,260772,262775,265295,268118
394692,6,"Houston, TX",Msa,TX,112512,112577,112586,112728,112871,112970,113009,113065,113233,113423,113691,113977,113942,113793,113655,113750,113842,114017,114248,114501,114673,114865,115124,115379,116050,116680,117329,117533,117789,118038,118349,118623,118897,119187,119214,119223,119351,119993,120903,121806,122620,123371,124140,124878,125455,125931,126456,127063,127606,127868,127917,128067,128122,128266,128340,128620,128938,129205,129657,130094,130286,130261,129871,129673,129650,129792,129939,129796,129874,130064,130295,130432,130587,130851,131423,132060,132646,133178,133660,134356,134903,135391,135739,136087,136507,136737,136834,136925,137053,137393,137599,137954,138179,138524,138841,139222,139752,140770,142247,143428,144620,145143,146143,146805,147763,148577,149360,150225,150959,151625,151915,152191,152160,152462,152514,152620,152545,152454,152613,152611,152872,152998,153351,153636,154166,154597,155113,155655,156311,157025,157592,158204,158712,158940,158951,159098,159451,159967,160208,160670,161060,161438,161701,161976,161773,161353,160792,160453,159872,159219,158708,158128,157542,157019,156266,155385,154741,154712,154757,154668,154632,154885,155370,155711,155799,155607,155777,156068,156280,156327,156601,156878,156941,156476,155449,154217,153315,152786,152555,152197,151704,150900,149753,148772,147965,147550,147372,147425,147444,147461,146890,146562,146455,146763,147155,147359,147708,147984,148483,148964,149389,149603,150213,150838,151690,152560,153950,155576,157130,158411,159651,160943,162341,163898,165441,166881,168237,169583,170559,171412,172236,173578,175088,176858,178582,180105,181472,182887,184253,185516,186954,188422,189818,190907,191663,192310,192962,193912,194648,195303,196163,196995,197529,197770,198336,199010,199843,200346,200806,201120,201922,202844,203363,203934,204604,205402,205866,206311,206750,207152,207592,208072,208633,209180,209788,210274,210871,211923,213070,214032,214741,215720,216660,217388,217839,218386,219500,220456,221020,221012,221331,222045,222904,223470,223568,223803,224089,224645,224850,225285,226038,227074,227959,228721,229582,230652,232207
395209,7,"Washington, DC",Msa,DC,183982,183751,183618,183336,183195,183026,182842,182740,182754,182893,182945,183013,182778,182641,182445,182539,182503,182590,182751,182871,182829,182751,182842,182929,183362,183764,184297,184501,184730,184881,185044,185255,185576,185792,185991,186337,186921,187754,188542,189336,190057,190884,191727,192500,193397,194395,195609,196698,197783,198758,199723,200689,201816,203042,204495,206090,207738,209535,211324,213383,215367,217299,219322,221545,223867,226121,228262,230457,232692,234975,237447,239939,242499,244936,247468,250118,252961,255916,258982,262219,265368,268501,271527,274672,277739,281120,284508,287770,290644,293507,296337,299267,302424,306248,310377,314389,318237,322606,327261,332304,337632,343699,350601,357761,365076,371465,377581,383756,390789,397304,403732,410644,418514,426346,433427,439869,446493,453176,458859,463861,467888,471858,475534,477826,479133,479363,479310,478649,476246,473473,471386,470066,468649,466986,465336,464045,462099,458994,455381,451711,449091,445714,441607,436193,431098,425724,419613,412840,405217,398671,392400,386952,381293,376183,371363,366873,361747,357076,352802,349260,347053,345673,344997,344173,343215,342758,343043,344136,345581,346012,346817,347691,349093,349094,348526,347581,347369,346886,345489,343980,342908,343119,342791,342429,341253,340939,340397,340339,339755,339217,339214,339239,339205,339310,340326,341556,342828,344204,345925,347486,348732,350484,352675,355306,358075,360238,362105,363910,366467,368873,371337,373938,377239,380062,382444,383876,385396,386862,388091,389099,389231,389334,389503,389683,389796,389757,389836,390011,389769,390322,391116,391552,391757,391985,392433,392704,392790,393287,393716,394470,395042,394734,394697,395547,397535,399015,400151,401017,402366,403400,404517,405950,407943,410429,411829,412705,412660,413429,414395,416096,417469,419033,420615,421490,422283,422824,424384,426040,428224,430025,431464,432004,432261,432547,432811,434009,435604,437573,438934,439795,440817,441805,442290,442896,443640,445040,446443,447684,448737,449784,451286,453479,455716,458285,461672,465555,469854
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,122379,122549,122720,123035,123310,123691,124065,124382,124524,124677,124880,125135,125065,125076,125103,125479,125802,126053,126290,126551,126843,127025,127206,127419,128252,128935,129532,129555,129724,129571,129498,129570,130261,131111,131775,132217,132307,132455,132628,133048,133537,134534,135436,136230,136354,136508,136848,137319,137953,138698,139631,140600,141381,142061,142730,143397,144266,145139,146200,147331,148484,149666,150972,152336,153895,155435,157192,159046,161087,163210,165170,166937,168580,170213,171727,173352,174961,176758,178607,180615,182464,184321,186188,188613,191075,193714,196319,199024,201551,203820,205931,208120,210623,213298,216247,218850,221879,224748,227814,230633,233968,237633,241587,245763,250094,254710,259307,264408,269249,274596,280004,285522,291315,297508,304649,311660,318565,324746,330371,335476,340845,345463,350589,356145,361311,365269,367481,369021,369941,370078,370716,370515,370280,369226,367462,364283,360698,356472,352200,347731,343162,339229,334000,328797,321852,315190,307803,301233,294420,288145,281311,274151,266775,259175,252143,245672,239764,234297,228767,223709,218936,215305,212358,210082,208005,206734,205708,204595,204052,203675,203822,203336,202755,201386,200156,198654,197300,195308,193552,192036,190404,188980,187528,186621,185595,184704,183763,183049,182515,182428,182498,182574,182750,182625,182896,183187,184076,185314,186594,188239,189948,191721,193080,194565,196559,199277,202218,205606,208730,211528,214426,217431,220670,223746,227576,231205,234555,236807,239022,240379,242205,243905,246081,247720,249165,250831,251787,253093,254161,256137,257698,259547,261029,262713,263980,265551,267469,269226,271333,273158,275299,277057,278774,280591,282439,284725,287007,288981,290502,291996,293805,295695,297437,299008,300309,301931,303486,304969,306322,308261,310247,312417,313470,314807,315723,317570,319697,321514,323545,325049,326881,328019,328942,329357,330952,332496,334066,333745,333875,334248,334848,335787,336627,337168,337324,337786,338411,338913,339665,341537,343083,344646,346064,347616,349257,351543,354439
394347,9,"Atlanta, GA",Msa,GA,122013,122244,122467,122961,123446,123969,124432,124889,125320,125792,126273,126795,127131,127510,127910,128466,128985,129414,129902,130481,131131,131750,132274,132810,133682,134543,135328,135768,136331,136970,137674,138292,138892,139497,140278,140984,141634,142245,143008,143870,144697,145565,146475,147330,148197,149036,149898,150736,151513,152376,153294,154357,155388,156399,157349,158379,159401,160486,161462,162525,163511,164445,165257,166007,166820,167584,168373,169133,169888,170581,171272,171939,172609,173291,173895,174495,174997,175516,175972,176377,176777,177195,177615,177944,178317,178644,179063,179353,179662,179959,180283,180633,180957,181266,181595,181987,182294,182615,182942,183430,183854,184206,184568,185036,185549,186087,186565,187041,187579,188164,188738,189280,189916,190606,191211,191773,192399,193086,193841,194505,195244,195879,196443,196864,197245,197720,198291,198834,199290,199653,200062,200549,201063,201547,202073,202437,202666,202617,202461,202115,201578,200963,200272,199729,198754,197595,196033,194791,193529,192184,190576,188835,187187,185357,183047,180022,177176,174497,172179,169503,167018,164887,163510,162438,161421,160222,159364,159007,158594,158044,157358,157171,157103,156726,155282,153268,150855,148878,146946,145452,143837,142508,140657,138667,136232,134068,132514,131874,131991,132102,131936,131055,130530,130015,130542,131157,132134,133113,134161,134690,134701,134860,135748,137089,138659,140395,142145,143798,145603,147511,149421,151608,154009,156371,158279,160222,161799,163234,164212,165233,166070,166830,167799,168640,169531,170282,171120,171906,172715,173486,174150,174922,175927,177127,178073,179054,180006,180917,181766,182506,183556,184598,185993,187349,188538,189367,190091,190923,191651,192692,193824,195277,196341,197522,198608,199814,201072,202562,204166,205541,207136,208605,210287,211951,213883,215719,217198,218603,220108,221810,223480,225069,226564,228122,229543,230710,231620,232463,233703,235004,236357,237214,238008,238794,239511,240173,240870,241812,242927,244171,245363,246587,247781,249295,250935,252768,254764
