RegionID,SizeRank,RegionName,RegionType,City,StateName,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,Change Over Time
394913,1,"New York, NY",Msa,New York,NY,55393,50917,49295,51648,56434,61746,65978,68175,68313,67360,66449,64203,60079,55929,54205,56893,61448,66656,70251,71525,70616,69133,67148,63920,58336,53318,51180,52557,51095,50247,50217,53813,55345,54722,-671
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,Los Angeles,CA,20753,18956,18775,20676,22592,24511,25998,27533,28480,28932,29024,28388,26538,24798,23799,24764,25669,26966,27677,28289,28199,27834,27136,25474,22653,20275,19506,20206,20017,20368,21065,22582,22966,22755,2002
394463,3,"Chicago, IL",Msa,Chicago,IL,33372,30039,28683,30676,33533,36560,38514,40088,40914,40793,40187,38193,34822,31464,30053,31893,34902,38169,40422,41774,42399,42308,41624,39348,35600,32330,31302,32441,32311,32444,32454,33456,32900,31299,-2073
394514,4,"Dallas-Fort Worth, TX",Msa,Dallas,TX,25203,23058,22003,23101,25441,28150,30498,32394,33530,33563,32706,31486,29575,28114,27412,28848,30690,33027,35387,37406,38418,37831,36688,34962,32601,30459,29538,30161,30253,31120,31469,32143,30890,28858,3655
394974,5,"Philadelphia, PA",Msa,Philadelphia,PA,27813,25769,24431,25416,27611,29830,30878,30555,29735,29109,29064,28551,27066,25429,24360,25391,27136,29122,30239,30797,30336,29673,28758,27577,25387,23094,21948,22001,20810,20454,20584,21931,21978,21234,-6579
394692,6,"Houston, TX",Msa,Houston,TX,30184,28789,28025,29432,31260,33751,35255,36429,36858,36228,35318,33958,32523,31608,31304,32662,34050,35921,37921,39579,40506,39755,38554,36875,35119,33913,33656,34516,34543,35044,34726,34567,32953,31093,909
395209,7,"Washington, DC",Msa,Washington,DC,22853,21418,20092,21587,24930,27822,27778,26349,24863,24752,24821,24105,21890,19200,17583,18723,21075,23865,25371,25681,24859,24227,23796,22752,20212,17840,16865,18027,18487,19083,18693,19001,18684,18670,-4183
394856,8,"Miami-Fort Lauderdale, FL",Msa,Miami,FL,25899,26282,26957,28366,29018,29331,28967,28600,28339,28163,28433,28671,28748,29299,30206,31633,32003,31906,31264,30600,29730,28904,28514,28176,27724,27642,27855,28339,27306,26653,25868,25411,24095,22731,-3168
394347,9,"Atlanta, GA",Msa,Atlanta,GA,29755,27694,26584,27627,28952,30515,31884,33160,34101,33939,33630,32690,31226,30001,30783,32409,34035,34890,36426,37713,38439,38301,37964,36676,34710,33091,32445,33292,33500,34446,34274,33802,32091,29974,219
394404,10,"Boston, MA",Msa,Boston,MA,8840,7413,6619,6955,8102,9784,11215,11995,11999,12089,12258,11915,10475,8862,7902,8332,9371,11069,12301,12665,12086,11674,11605,11062,9395,7567,6730,7137,7402,8010,8476,9055,8878,8455,-385
395057,11,"San Francisco, CA",Msa,San Francisco,CA,4582,3642,3457,4240,5156,6051,6544,6819,6847,7082,7419,7272,6298,5233,4879,5492,6390,7308,7836,8003,7708,7609,7498,6960,5603,4319,3988,4434,4655,5080,5573,6352,6531,6585,2003
394532,12,"Detroit, MI",Msa,Detroit,MI,14924,13403,12259,12418,13144,14640,16066,17440,18634,19184,19352,18603,17249,15824,14672,14633,15065,16413,17897,19340,20367,20788,20733,19680,17965,16217,15077,14612,13293,13610,14120,15532,15403,14864,-60
395025,13,"Riverside, CA",Msa,Riverside,CA,16492,15988,16079,17060,17953,18834,19549,20306,20736,20887,20959,20782,20083,19517,19080,19597,19878,20251,20317,20369,20398,20191,19987,19286,18137,17137,16567,16477,15701,15327,14827,14454,13579,12808,-3684
394976,14,"Phoenix, AZ",Msa,Phoenix,AZ,24963,24725,24909,26420,27398,27794,27226,26038,25057,24345,24585,24787,24531,24859,25568,27547,28541,29013,28261,26753,25128,23745,23383,22880,21910,21156,20980,22008,22193,22393,21657,20865,19858,19475,-5488
395078,15,"Seattle, WA",Msa,Seattle,WA,8193,6562,5757,6245,7131,8835,10294,11549,12174,12611,12736,12059,10390,8894,7826,8300,9000,10756,12077,12939,12760,12158,11374,9978,7974,6362,5728,6336,6904,7695,8081,8695,9016,9109,916
394865,16,"Minneapolis-St Paul, MN",Msa,Minneapolis,MN,11610,9668,8916,9673,10995,12710,14172,15226,15721,15711,15432,14279,12374,10541,9488,9806,10913,12786,14703,15932,16362,16193,15876,14774,12843,10909,10035,10703,11467,12467,12836,13303,13220,12989,1379
395056,17,"San Diego, CA",Msa,San Diego,CA,5936,5524,5489,6115,6824,7521,7973,8365,8646,8787,8815,8628,8108,7635,7302,7514,7726,8105,8371,8577,8567,8317,7921,7224,6354,5678,5411,5608,5577,5732,5774,5944,5793,5573,-363
395121,18,"St. Louis, MO",Msa,St. Louis,MO,13152,12120,11527,11931,12677,13587,14218,14700,14953,14804,14619,14008,13032,11810,10914,11117,11761,12706,13267,13556,13636,13604,13631,13276,12330,11203,10466,10628,10482,10493,10158,10225,9963,9720,-3432
395148,19,"Tampa, FL",Msa,Tampa,FL,15102,15061,15197,16100,16768,17337,17451,17218,17011,16727,16762,16762,16549,16689,16971,17711,17627,17499,17425,17551,17501,17082,16871,16537,15937,15573,15482,15896,15483,15336,14645,14095,13052,12245,-2857
394358,20,"Baltimore, MD",Msa,Baltimore,MD,13259,12601,11928,12416,13593,14802,15145,14878,14485,14328,14268,13909,13103,12100,11360,11815,12842,14127,14883,15124,14929,14657,14440,13882,12677,11415,10723,10893,10730,10788,10497,10491,10085,9814,-3445
394530,21,"Denver, CO",Msa,Denver,CO,7344,6217,5759,6348,7183,8271,9253,9833,10117,10104,10040,9573,8481,7578,7088,7574,8324,9572,10692,11285,11325,11014,10620,9649,8201,7055,6548,7069,7316,8308,8795,9353,8988,8406,1062
394982,22,"Pittsburgh, PA",Msa,Pittsburgh,PA,10790,9951,9437,9549,9941,10525,11050,11391,11511,11293,11074,10627,9950,9248,8756,8882,9175,9683,10052,10130,10074,9958,9962,9664,8989,8367,7983,7856,7216,7311,7620,8301,8208,8023,-2767
394998,23,"Portland, OR",Msa,Portland,OR,7992,6937,6272,6508,7196,8362,9495,10337,10837,10981,10819,10212,9165,8288,7704,7962,8475,9538,10439,11123,11313,11180,10696,9789,8482,7478,6936,7295,7569,8166,8345,8634,8522,8135,143
394458,24,"Charlotte, NC",Msa,Charlotte,NC,9366,8730,8564,9413,10200,11001,11336,11697,11867,11615,11386,10896,10214,9690,9519,10430,11098,11997,12418,12927,12965,12775,12579,11970,10960,10090,9673,10085,10032,10383,10023,9783,9126,8686,-680
395045,25,"Sacramento, CA",Msa,Sacramento,CA,6046,5244,4926,5328,5961,6835,7534,8059,8392,8492,8492,8026,7207,6376,5818,5897,6297,7054,7781,8306,8570,8541,8261,7523,6455,5601,5258,5518,5681,6057,6299,6461,6210,5873,-173
395055,26,"San Antonio, TX",Msa,San Antonio,TX,9754,9280,9143,9710,10408,11021,11409,11703,11907,11733,11429,11032,10637,10401,10319,10902,11541,12248,12922,13536,13917,13791,13525,13081,12581,12128,12022,12276,12286,12485,12446,12384,11840,11175,1421
394943,27,"Orlando, FL",Msa,Orlando,FL,10985,10835,10833,11372,11789,12239,12435,12496,12589,12613,12682,12539,12230,12141,12211,12690,12817,12968,13147,13322,13290,12940,12783,12540,12100,11681,11486,11640,11332,11394,11339,11471,11151,10740,-245
394466,28,"Cincinnati, OH",Msa,Cincinnati,OH,6843,6279,5936,6066,6368,6924,7353,7803,8044,8144,8109,7829,7282,6698,6278,6364,6619,7031,7414,7661,7780,7735,7605,7231,6559,5994,5585,5582,5464,5603,5647,5742,5643,5507,-1336
394475,29,"Cleveland, OH",Msa,Cleveland,OH,9528,8693,8201,8445,9012,9768,10342,10796,10960,10876,10595,10122,9372,8583,8103,8310,8851,9630,10254,10723,10884,10821,10607,10084,9299,8376,7733,7592,7378,7382,7337,7592,7693,7631,-1897
394735,30,"Kansas City, MO",Msa,Kansas City,MO,9734,8941,8508,8896,9684,10796,11800,12296,12450,12076,11452,10546,9410,8768,8320,8557,9059,9721,10137,10335,10408,10361,10235,9792,8961,8084,7540,7606,7585,7779,7737,7763,7491,7224,-2510
394775,31,"Las Vegas, NV",Msa,Las Vegas,NV,10222,9583,9435,9847,10273,9607,8765,8812,9189,9731,9404,9647,9482,9592,9815,10516,10907,11398,11653,11848,11803,11631,11463,11001,10219,9483,8949,8951,8873,9245,9453,9663,9619,9583,-639
394492,32,"Columbus, OH",Msa,Columbus,OH,5234,4617,4233,4368,4734,5418,6000,6498,6753,6731,6656,6269,5679,5033,4561,4630,4827,5386,5860,6296,6488,6504,6445,6117,5526,4933,4479,4460,4397,4546,4611,4731,4709,4601,-633
394705,33,"Indianapolis, IN",Msa,Indianapolis,IN,7404,6668,6203,6493,6855,7184,7387,7684,8109,8216,8288,8019,7464,6812,6322,6407,6659,7236,7782,8291,8619,8741,8747,8402,7745,7090,6618,6552,6327,6381,6281,6318,6157,6123,-1281
395059,34,"San Jose, CA",Msa,San Jose,CA,1542,1299,1315,1677,2073,2488,2722,2922,2990,3123,3223,3122,2683,2248,2138,2450,2854,3269,3542,3669,3556,3426,3276,2922,2320,1787,1672,1845,1937,2088,2258,2509,2551,2570,1028
394355,35,"Austin, TX",Msa,Austin,TX,6532,5902,5592,6023,6778,7661,8281,8609,8681,8441,8171,7801,7366,6905,6604,6853,7281,7835,8436,8892,9135,8982,8713,8205,7442,6867,6593,6887,7069,7577,7693,7768,7287,6744,212
395194,36,"Virginia Beach, VA",Msa,Virginia Beach,VA,10819,10193,9845,10094,10656,11312,11774,11957,11904,11505,11180,10723,10174,9685,9413,9708,10169,10772,11117,11179,10976,10573,10104,9494,8805,8245,8008,8250,8329,8402,8151,7954,7571,7200,-3619
394902,37,"Nashville, TN",Msa,Nashville,TN,8676,8170,7868,8215,8850,9635,10329,10832,11188,11247,11282,11090,10624,10151,9788,9948,10324,10992,11630,12189,12352,12323,12255,11919,11279,10488,10103,10218,10314,10725,10956,11126,10767,10119,1443
395005,38,"Providence, RI",Msa,Providence,RI,5630,4948,4483,4432,4797,5427,6097,6563,6814,6894,6931,6681,6114,5430,4951,4913,5194,5705,6140,6341,6356,6374,6380,6125,5576,4970,4593,4532,4411,4449,4473,4642,4624,4511,-1119
394862,39,"Milwaukee, WI",Msa,Milwaukee,WI,2894,2529,2293,2322,2496,2782,2940,3054,3083,3105,3128,3059,2873,2584,2380,2410,2564,2831,3061,3239,3300,3296,3250,3057,2752,2370,2184,2215,2316,2419,2499,2661,2835,2976,82
394714,40,"Jacksonville, FL",Msa,Jacksonville,FL,8008,7776,7971,8624,9277,9721,9952,10134,10215,10076,9871,9583,9168,8932,8955,9505,10136,10545,10808,10745,10630,10267,10063,9764,9415,9118,9178,9562,9545,9508,9130,8831,8255,7646,-362
394849,41,"Memphis, TN",Msa,Memphis,TN,4891,4673,4527,4608,4793,5068,5326,5568,5705,5672,5553,5328,5138,4973,4916,5028,5093,5164,5165,5211,5220,5159,5083,4900,4628,4383,4200,4185,4106,4130,4006,3900,3680,3493,-1398
394935,42,"Oklahoma City, OK",Msa,Oklahoma City,OK,7676,7419,7197,7360,7558,7908,8102,8214,8179,7994,7734,7450,7053,6687,6333,6322,6505,6759,7045,7216,7395,7284,7077,6723,6332,6040,5847,5901,5847,6031,6019,6017,5761,5507,-2169
394807,43,"Louisville-Jefferson County, KY",Msa,Louisville,KY,4422,4142,3953,4099,4310,4609,4953,5313,5543,5576,5590,5495,5219,4898,4607,4675,4782,5048,5257,5455,5561,5614,5640,5473,5024,4611,4318,4299,4166,4184,4115,4072,3891,3755,-667
394669,44,"Hartford, CT",Msa,Hartford,CT,5245,4737,4229,4138,4471,5032,5589,5757,5824,5702,5665,5481,5035,4506,4158,4246,4577,5099,5475,5681,5667,5604,5506,5241,4752,4260,3947,3947,3823,3851,3846,3983,3918,3874,-1371
395022,45,"Richmond, VA",Msa,Richmond,VA,4868,4402,4237,4488,4931,5327,5582,5670,5711,5635,5587,5381,4998,4607,4373,4538,4812,5247,5549,5739,5725,5675,5674,5497,5102,4706,4526,4691,4759,4813,4669,4516,4269,4090,-778
394910,46,"New Orleans, LA",Msa,New Orleans,LA,3719,3613,3583,3781,3966,4166,4246,4301,4243,4095,3974,3842,3692,3592,3577,3727,3851,4023,4243,4362,4443,4312,4177,3922,3664,3498,3389,3453,3398,3492,3406,3355,,,-3719
394425,47,"Buffalo, NY",Msa,Buffalo,NY,3039,2681,2415,2415,2535,2827,3073,3359,3521,3596,3535,3304,2961,2628,2401,2416,2512,2774,3055,3290,3414,3427,3376,3181,2827,2496,2267,2198,2009,2003,2150,2436,2602,2559,-480
395012,48,"Raleigh, NC",Msa,Raleigh,NC,5302,4895,4774,5096,5465,5883,6135,6162,6093,5847,5811,5608,5361,5149,5085,5372,5621,6015,6454,6684,6788,6647,6634,6438,6056,5752,5574,5760,5727,5805,5532,5346,4984,4706,-596
394388,49,"Birmingham, AL",Msa,Birmingham,AL,5910,5571,5491,5705,5976,6226,6431,6491,6510,6413,6309,6059,5662,5335,5139,5309,5499,5739,5964,6135,6251,6175,5995,5689,5272,5001,4857,4974,4929,4980,4914,4908,4780,4651,-1259
395053,50,"Salt Lake City, UT",Msa,Salt Lake City,UT,2590,2345,2303,2506,2842,3326,3751,4029,4250,4397,4553,4465,4143,3816,3543,3694,3923,4343,4660,4808,4841,4740,4619,4256,3712,3210,2888,3024,3231,3579,3649,3580,3362,3114,524
395031,51,"Rochester, NY",Msa,Rochester,NY,3333,2954,2722,2798,3058,3405,3698,3885,3997,3992,3914,3682,3290,2890,2630,2649,2825,3127,3421,3612,3644,3613,3540,3353,2992,2620,2416,2407,2308,2360,2499,2764,2885,2838,-495
394640,52,"Grand Rapids, MI",Msa,Grand Rapids,MI,3197,2754,2411,2409,2557,2891,3204,3526,3763,3847,3811,3592,3247,2897,2623,2599,2725,3055,3440,3755,3906,3936,3904,3670,3252,2799,2512,2466,2314,2521,2671,2975,2914,2741,-456
395167,53,"Tucson, AZ",Msa,Tucson,AZ,4710,4741,4760,4951,4949,4961,4827,4649,4501,4362,4383,4465,4498,4616,4660,4900,4992,4992,4866,4659,4496,4357,4341,4326,4215,4159,4132,4267,4165,4075,3817,3611,3408,3368,-1342
753924,54,"Urban Honolulu, HI",Msa,Honolulu,HI,1870,1784,1736,1851,2014,2194,2289,2366,2405,2396,2362,2344,2294,2246,2202,2265,2354,2470,2531,2580,2586,2583,2538,2439,2303,2153,2066,2070,2045,2029,1989,2024,2018,1960,90
395169,55,"Tulsa, OK",Msa,Tulsa,OK,5759,5559,5437,5547,5665,5835,6016,6192,6328,6274,6119,5802,5419,5135,4962,5001,5095,5193,5299,5342,5367,5247,5076,4807,4517,4298,4210,4337,4313,4338,4237,4169,4052,3881,-1878
394619,56,"Fresno, CA",Msa,Fresno,CA,1993,1867,1828,1949,2085,2247,2355,2451,2525,2562,2586,2513,2381,2250,2188,2273,2366,2505,2604,2659,2676,2653,2613,2503,2306,2133,2019,2037,1997,1982,1882,1823,1737,1699,-294
395238,57,"Worcester, MA",Msa,Worcester,MA,2859,2474,2217,2226,2466,2854,3222,3408,3495,3532,3612,3496,3145,2718,2414,2405,2571,2924,3242,3381,3358,3330,3324,3181,2796,2400,2149,2176,2168,2264,2313,2343,2267,2149,-710
394415,58,"Stamford, CT",Msa,Stamford,CT,4993,4488,4164,4285,5053,5766,6301,6198,6033,5870,5749,5553,5055,4541,4335,4638,5180,5834,6245,6372,6122,5890,5704,5449,4913,4362,4159,4329,4368,4497,4640,4947,4890,4705,-288
394312,59,"Albuquerque, NM",Msa,Albuquerque,NM,3954,3676,3497,3564,3733,3975,4197,4352,4456,4424,4331,4112,3807,3496,3267,3278,3412,3597,3802,3929,4009,3945,3888,3723,3438,3135,2934,2968,2939,3001,2938,2941,2851,2776,-1178
394308,60,"Albany, NY",Msa,Albany,NY,2880,2606,2402,2408,2515,2744,2939,3123,3174,3196,3174,3088,2875,2633,2435,2411,2472,2668,2845,2964,2994,3001,2971,2820,2533,2259,2073,2018,1895,1892,1946,2074,2111,2077,-803
394938,61,"Omaha, NE",Msa,Omaha,NE,3121,2894,2775,2939,3163,3465,3715,3913,4038,4061,4007,3865,3549,3254,3005,2996,3130,3435,3725,3869,3935,3971,4008,3861,3522,3189,3012,3180,3299,3502,3454,3405,3206,3038,-83
394908,62,"New Haven, CT",Msa,New Haven,CT,3558,3178,2836,2769,2999,3343,3581,3612,3616,3590,3553,3398,3127,2837,2653,2728,2940,3264,3475,3563,3507,3409,3307,3097,2781,2476,2333,2373,2341,2362,2359,2438,2445,2454,-1104
394357,63,"Bakersfield, CA",Msa,Bakersfield,CA,2199,2129,2166,2330,2503,2641,2782,2880,2981,2996,2969,2837,2642,2514,2443,2537,2602,2718,2815,2908,2958,2930,2887,2777,2599,2429,2329,2361,2341,2382,2345,2342,2286,2253,54
394753,64,"Knoxville, TN",Msa,Knoxville,TN,4352,4161,4015,4069,4221,4420,4556,4692,4802,4827,4766,4600,4342,4099,3959,4064,4197,4376,4480,4503,4514,4456,4448,4350,4120,3877,3640,3614,3542,3573,3494,3380,3175,3010,-1342
394653,65,"Greenville, SC",Msa,Greenville,SC,4052,3899,3770,3930,4051,4200,4212,4222,4216,4175,4113,3991,3788,3627,3519,3686,3817,4072,4274,4522,4677,4683,4570,4343,4059,3879,3807,3871,3881,3905,3812,3705,3512,3319,-733
394952,66,"Ventura, CA",Msa,Ventura,CA,1658,1514,1470,1604,1789,2023,2212,2382,2494,2539,2525,2394,2189,2022,1930,2017,2116,2285,2402,2508,2495,2399,2246,2084,1849,1685,1603,1668,1647,1685,1719,1800,1753,1671,13
394318,67,"Allentown, PA",Msa,Allentown,PA,3984,3645,3420,3457,3635,3926,4210,4389,4448,4433,4419,4295,3997,3683,3463,3497,3624,3829,3993,4079,4101,4052,3957,3743,3421,3105,2885,2800,2517,2458,2554,2813,2836,2724,-1260
394561,68,"El Paso, TX",Msa,El Paso,TX,4482,4450,4483,4542,4545,4464,4322,4244,4163,4088,4025,3975,3869,3769,3698,3737,3748,3726,3786,3851,3925,3861,3822,3755,3672,3588,3615,3685,3663,3579,3436,3286,3158,3022,-1460
394367,69,"Baton Rouge, LA",Msa,Baton Rouge,LA,3851,3823,3877,4105,4336,4599,4837,5018,5091,4992,4908,4796,4644,4541,4516,4702,4867,5018,5135,5207,5281,5225,5134,4945,4725,4585,4534,4641,4596,4589,4451,4356,4155,3930,79
394521,70,"Dayton, OH",Msa,Dayton,OH,2948,2711,2587,2636,2763,2903,3048,3178,3284,3344,3382,3305,3077,2772,2533,2489,2489,2561,2635,2737,2798,2777,2751,2636,2420,2209,2058,2070,2034,2056,2030,2061,2067,2094,-854
394843,71,"McAllen, TX",Msa,McAllen,TX,2056,2032,2034,2094,2132,2188,2183,2179,2200,2220,2277,2276,2260,2291,2358,2461,2467,2460,2442,2442,2431,2411,2406,2387,2340,2314,2330,2379,2346,2297,2165,2031,1846,1699,-357
394486,72,"Columbia, SC",Msa,Columbia,SC,4609,4387,4205,4256,4394,4531,4560,4558,4558,4386,4231,4038,3858,3700,3561,3628,3655,3823,4076,4411,4623,4593,4430,4208,3988,3906,3833,3901,3789,3771,3553,3378,,,-4609
394648,73,"Greensboro, NC",Msa,Greensboro,NC,2892,2738,2676,2770,2955,3216,3316,3365,3121,2900,2684,2591,2474,2376,2303,2403,2466,2593,2662,2759,2807,2808,2752,2645,2470,2317,2210,2236,2222,2281,2257,2241,2119,2057,-835
394304,74,"Akron, OH",Msa,Akron,OH,3166,2887,2710,2785,2962,3205,3364,3478,3514,3467,3366,3178,2890,2593,2374,2404,2542,2813,3048,3251,3314,3310,3254,3133,2920,2664,2457,2415,2339,2330,2298,2381,2419,2393,-773
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,Sarasota,FL,6553,6927,7340,7885,8064,7940,7587,7116,6778,6495,6506,6684,6900,7354,7743,8244,8159,7862,7482,7179,6944,6622,6494,6536,6609,6920,7209,7462,7162,6824,6385,6055,5612,5238,-1315
394798,76,"Little Rock, AR",Msa,Little Rock,AR,4467,4286,4161,4287,4483,4775,4983,5085,5138,5108,5053,4908,4664,4461,4361,4491,4656,4622,4507,4320,4261,4290,4319,4293,4095,3903,3844,3936,3967,4009,3967,3986,3914,3735,-732
395134,77,"Stockton, CA",Msa,Stockton,CA,1400,1250,1183,1248,1348,1503,1618,1725,1836,1923,1974,1919,1774,1622,1512,1547,1632,1757,1895,2015,2093,2115,2099,2002,1807,1585,1454,1444,1427,1450,1434,1422,1332,1269,-131
394457,78,"Charleston, SC",Msa,Charleston,SC,4647,4437,4426,4728,5048,5336,5450,5436,5350,5135,5124,5054,4956,4836,4838,5131,5342,5553,5723,5831,5873,5675,5589,5372,5158,4970,4929,5064,5017,5084,5001,4906,4606,4310,-337
395143,79,"Syracuse, NY",Msa,Syracuse,NY,2745,2484,2311,2328,2474,2686,2897,3100,3246,3264,3156,2938,2653,2371,2181,2180,2289,2473,2625,2753,2835,2843,2792,2583,2287,1985,1802,1735,1621,1609,1678,1810,1869,1841,-904
394484,80,"Colorado Springs, CO",Msa,Colorado Springs,CO,2037,1845,1789,1981,2298,2786,3234,3613,3777,3798,3655,3417,3057,2724,2472,2513,2708,3092,3488,3772,3912,3850,3705,3367,2966,2638,2482,2651,2754,3112,3390,3730,3756,3584,1547
395235,81,"Winston-Salem, NC",Msa,Winston-Salem,NC,2631,2460,2424,2598,2850,3159,3251,3331,3124,2947,2723,2603,2416,2239,2152,2299,2450,2605,2643,2679,2679,2687,2678,2616,2449,2334,2259,2378,2355,2352,2203,2130,2025,1972,-659
395224,82,"Wichita, KS",Msa,Wichita,KS,2764,2596,2469,2491,2560,2693,2842,2926,2986,2941,2942,2888,2774,2640,2520,2544,2612,2688,2735,2693,2670,2595,2544,2406,2236,2113,2060,2099,2080,2091,2024,1989,1919,1906,-858
395115,83,"Springfield, MA",Msa,Springfield,MA,1739,1514,1366,1382,1506,1714,1900,2036,2085,2089,2093,2012,1842,1628,1494,1495,1568,1715,1837,1922,1937,1934,1911,1818,1609,1402,1284,1301,1280,1304,1310,1347,1331,1327,-412
394440,84,"Fort Myers, FL",Msa,Fort Myers,FL,6801,7346,7808,8410,8533,8394,7917,7482,7194,7036,7117,7401,7772,8372,8882,9396,9448,9220,8823,8347,7922,7509,7356,7383,7463,7709,7902,8087,7737,7374,6849,6421,5930,5551,-1250
394399,85,"Boise City, ID",Msa,Boise City,ID,3942,3445,3128,3167,3495,3773,3976,4060,4278,4408,4439,4278,3940,3625,3377,3436,3651,3984,4243,4393,4443,4444,4438,4291,3971,3620,3418,3502,3594,3847,3883,3755,,,-3942
395160,86,"Toledo, OH",Msa,Toledo,OH,2409,2241,2149,2184,2235,2324,2394,2497,2594,2625,2603,2468,2271,2073,1913,1916,1979,2092,2167,2194,2239,2250,2275,2222,2098,1946,1840,1818,1755,1743,1719,1717,1680,1650,-759
394816,87,"Madison, WI",Msa,Madison,WI,2199,1887,1746,1874,2193,2560,2831,2950,2939,2846,2728,2545,2255,1973,1842,1953,2196,2531,2813,2931,2905,2815,2743,2572,2301,2014,1896,2016,2170,2308,2339,2400,2400,2350,151
394766,88,"Lakeland, FL",Msa,Lakeland,FL,3203,3161,3197,3336,3432,3491,3476,3444,3465,3530,3596,3627,3594,3717,3876,4125,4130,4059,4047,4071,4148,4131,4170,4133,4009,3939,3933,3999,3867,3781,3619,3551,3372,3230,27
394931,89,"Ogden, UT",Msa,Ogden,UT,1693,1573,1494,1585,1747,2017,2209,2330,2459,2565,2665,2582,2367,2170,2062,2152,2254,2455,2634,2769,2844,2888,2892,2732,2421,2110,1899,1983,2091,2264,2214,2117,1937,1755,62
394528,90,"Daytona Beach, FL",Msa,Daytona Beach,FL,4159,4201,4258,4458,4610,4734,4794,4811,4836,4799,4808,4813,4782,4851,4945,5197,5203,5157,5076,5081,5076,5026,5022,5015,4900,4876,4903,5054,4918,4839,4617,4445,4106,3844,-315
