date,Mortgage Rate,MSACR,Unemployment
4/1/1971,7.29,4.2,5.9
5/1/1971,7.46,4.6,5.9
6/1/1971,7.54,4.7,5.9
7/1/1971,7.69,4.1,6
8/1/1971,7.69,4.7,6.1
9/1/1971,7.67,5.2,6
10/1/1971,7.63,5,5.8
11/1/1971,7.51,4.9,6
12/1/1971,7.48,5.1,6
1/1/1972,7.4,5.2,5.8
2/1/1972,7.31,5.4,5.7
3/1/1972,7.23,6.1,5.8
4/1/1972,7.33,5.8,5.7
5/1/1972,7.4,6.1,5.7
6/1/1972,7.38,6.3,5.7
7/1/1972,7.4,6.3,5.6
8/1/1972,7.42,6,5.6
9/1/1972,7.43,6.2,5.5
10/1/1972,7.42,5.7,5.6
11/1/1972,7.44,6.8,5.3
12/1/1972,7.45,6.5,5.2
1/1/1973,7.43,6.5,4.9
2/1/1973,7.45,6.8,5
3/1/1973,7.49,7,4.9
4/1/1973,7.56,7.7,5
5/1/1973,7.7,7.5,4.9
6/1/1973,7.76,7.8,4.9
7/1/1973,8.18,8.7,4.8
8/1/1973,8.66,9.4,4.8
9/1/1973,8.85,9.5,4.8
10/1/1973,8.68,9.4,4.6
11/1/1973,8.55,9.6,4.8
12/1/1973,8.56,10.1,4.9
1/1/1974,8.52,9.7,5.1
2/1/1974,8.42,9.6,5.2
3/1/1974,8.41,8.8,5.1
4/1/1974,8.73,9.1,5.1
5/1/1974,9.03,8,5.1
6/1/1974,9.1,8.9,5.4
7/1/1974,9.42,8.8,5.5
8/1/1974,9.74,9.3,5.5
9/1/1974,10.03,9.1,5.9
10/1/1974,9.94,9.8,6
11/1/1974,9.72,9.7,6.6
12/1/1974,9.56,10.3,7.2
1/1/1975,9.29,9.9,8.1
2/1/1975,9.02,10.4,8.1
3/1/1975,8.86,8.9,8.6
4/1/1975,8.84,7.2,8.8
5/1/1975,8.89,6.8,9
6/1/1975,8.9,7.2,8.8
7/1/1975,8.89,7,8.6
8/1/1975,9.02,6.8,8.4
9/1/1975,9.14,7.3,8.4
10/1/1975,9.24,6.6,8.4
11/1/1975,9.11,5.8,8.3
12/1/1975,9.09,5.8,8.2
1/1/1976,8.9,6.4,7.9
2/1/1976,8.75,5.9,7.7
3/1/1976,8.75,6.8,7.6
4/1/1976,8.75,6.4,7.7
5/1/1976,8.78,7,7.4
6/1/1976,8.9,6.9,7.6
7/1/1976,8.98,6.4,7.8
8/1/1976,9,6.2,7.8
9/1/1976,8.97,6.2,7.6
10/1/1976,8.9,5.8,7.7
11/1/1976,8.8,6,7.8
12/1/1976,8.78,5.6,7.8
1/1/1977,8.73,5.3,7.5
2/1/1977,8.65,5.1,7.6
3/1/1977,8.7,5,7.4
4/1/1977,8.78,5.5,7.2
5/1/1977,8.85,5.4,7
6/1/1977,8.88,5.5,7.2
7/1/1977,8.93,6.1,6.9
8/1/1977,8.93,5.8,7
9/1/1977,8.9,5.9,6.8
10/1/1977,8.9,6.1,6.8
11/1/1977,8.93,6,6.8
12/1/1977,9,6,6.4
1/1/1978,9.05,5.9,6.4
2/1/1978,9.15,6.3,6.3
3/1/1978,9.25,6.1,6.3
4/1/1978,9.43,5.8,6.1
5/1/1978,9.68,5.9,6
6/1/1978,9.73,6.2,5.9
7/1/1978,9.75,6.6,6.2
8/1/1978,9.8,6.6,5.9
9/1/1978,9.78,5.9,6
10/1/1978,9.88,5.7,5.8
11/1/1978,10.28,6.5,5.9
12/1/1978,10.38,6.1,6
1/1/1979,10.4,6.6,5.9
2/1/1979,10.4,6.8,5.9
3/1/1979,10.45,6.6,5.8
4/1/1979,10.53,6.8,5.8
5/1/1979,10.75,7.1,5.6
6/1/1979,11.1,7.4,5.7
7/1/1979,11.08,7.1,5.7
8/1/1979,11.13,6.9,6
9/1/1979,11.35,7.4,5.9
10/1/1979,12,7.4,6
11/1/1979,12.9,8.3,5.9
12/1/1979,12.9,8.6,6
1/1/1980,12.89,7.9,6.3
2/1/1980,13.59,8.6,6.3
3/1/1980,16.03,9.8,6.3
4/1/1980,16.25,11.6,6.9
5/1/1980,13.2,9.2,7.5
6/1/1980,12.35,7.6,7.6
7/1/1980,12.18,6.5,7.8
8/1/1980,12.95,6,7.7
9/1/1980,13.43,7.3,7.5
10/1/1980,14,7.3,7.5
11/1/1980,14.28,7.4,7.5
12/1/1980,14.95,7.6,7.2
1/1/1981,15.07,8,7.5
2/1/1981,15.3,8.1,7.4
3/1/1981,15.4,7.7,7.4
4/1/1981,15.77,8.6,7.2
5/1/1981,16.8,8.4,7.5
6/1/1981,16.62,9.2,7.5
7/1/1981,17.11,9,7.2
8/1/1981,17.48,9.8,7.4
9/1/1981,18.36,11.3,7.6
10/1/1981,18.44,10.3,7.9
11/1/1981,17.21,9.1,8.3
12/1/1981,17.04,7.1,8.5
1/1/1982,17.59,8.9,8.6
2/1/1982,17.52,9.2,8.9
3/1/1982,17.04,8.7,9
4/1/1982,16.81,9.4,9.3
5/1/1982,16.63,8.3,9.4
6/1/1982,16.73,8.3,9.6
7/1/1982,16.65,8.2,9.8
8/1/1982,15.88,7.1,9.8
9/1/1982,15.19,6.7,10.1
10/1/1982,14.15,6.2,10.4
11/1/1982,13.77,5.4,10.8
12/1/1982,13.57,5.8,10.8
1/1/1983,13.1,5.4,10.4
2/1/1983,12.98,5.6,10.4
3/1/1983,12.86,5.4,10.3
4/1/1983,12.73,5.1,10.2
5/1/1983,12.68,4.9,10.1
6/1/1983,12.96,5.3,10.1
7/1/1983,13.65,5.8,9.4
8/1/1983,13.78,6.2,9.5
9/1/1983,13.65,6.2,9.2
10/1/1983,13.43,5.6,8.8
11/1/1983,13.43,5.8,8.5
12/1/1983,13.43,4.7,8.3
1/1/1984,13.29,5.3,8
2/1/1984,13.25,5.1,7.8
3/1/1984,13.55,6.1,7.8
4/1/1984,13.73,6,7.7
5/1/1984,14.08,6.7,7.4
6/1/1984,14.5,6.6,7.2
7/1/1984,14.67,6.7,7.5
8/1/1984,14.38,7.5,7.5
9/1/1984,14.26,6.5,7.3
10/1/1984,14.05,6,7.4
11/1/1984,13.42,7.2,7.2
12/1/1984,13.14,7.3,7.3
1/1/1985,12.96,6.7,7.3
2/1/1985,12.94,6.5,7.2
3/1/1985,13.29,6.4,7.2
4/1/1985,13.12,6.9,7.3
5/1/1985,12.71,6.4,7.2
6/1/1985,12.15,6,7.4
7/1/1985,12.03,5.6,7.4
8/1/1985,12.11,5.8,7.1
9/1/1985,12.17,6.3,7.1
10/1/1985,12.07,6.4,7.1
11/1/1985,11.58,5.9,7
12/1/1985,11.09,5.8,7
1/1/1986,10.89,5.7,6.7
2/1/1986,10.51,6,7.2
3/1/1986,10.1,4.7,7.2
4/1/1986,9.86,4.7,7.1
5/1/1986,10.38,5.2,7.2
6/1/1986,10.62,5.7,7.2
7/1/1986,10.4,6.1,7
8/1/1986,9.93,7,6.9
9/1/1986,10.1,5.8,7
10/1/1986,9.89,6.5,7
11/1/1986,9.5,6.1,6.9
12/1/1986,9.29,5.5,6.6
1/1/1987,9.08,6,6.6
2/1/1987,9.07,6.2,6.6
3/1/1987,9.03,6,6.6
4/1/1987,10.37,6,6.3
5/1/1987,10.7,6.7,6.3
6/1/1987,10.35,6.9,6.2
7/1/1987,10.27,6.7,6.1
8/1/1987,10.33,6.8,6
9/1/1987,11.02,6.8,5.9
10/1/1987,10.97,6.8,6
11/1/1987,10.55,7,5.8
12/1/1987,10.61,7.6,5.7
1/1/1988,10.16,7.5,5.7
2/1/1988,9.87,6.6,5.7
3/1/1988,9.99,6.6,5.7
4/1/1988,10.28,6.4,5.4
5/1/1988,10.58,6.6,5.6
6/1/1988,10.4,6.2,5.4
7/1/1988,10.49,6.6,5.4
8/1/1988,10.67,6.6,5.6
9/1/1988,10.42,6.5,5.4
10/1/1988,10.22,6,5.4
11/1/1988,10.39,7.2,5.3
12/1/1988,10.77,6.8,5.3
1/1/1989,10.6,6.2,5.4
2/1/1989,10.78,7.5,5.2
3/1/1989,11.19,8.2,5
4/1/1989,11.03,7.4,5.2
5/1/1989,10.5,7.1,5.2
6/1/1989,10.07,7.2,5.3
7/1/1989,9.81,6.1,5.2
8/1/1989,10.21,6.4,5.2
9/1/1989,10.16,7.1,5.3
10/1/1989,9.82,6.9,5.3
11/1/1989,9.74,6.6,5.4
12/1/1989,9.78,7,5.4
1/1/1990,10.05,7,5.4
2/1/1990,10.31,7.6,5.3
3/1/1990,10.22,7.8,5.2
4/1/1990,10.56,8.3,5.4
5/1/1990,10.33,8.2,5.4
6/1/1990,10.15,7.9,5.2
7/1/1990,9.98,7.8,5.5
8/1/1990,10.24,8.2,5.7
9/1/1990,10.22,8.4,5.9
10/1/1990,10.17,8.7,5.9
11/1/1990,9.9,8.2,6.2
12/1/1990,9.68,8.5,6.3
1/1/1991,9.61,9.4,6.4
2/1/1991,9.29,7.9,6.6
3/1/1991,9.52,7.3,6.8
4/1/1991,9.53,7.3,6.7
5/1/1991,9.45,7,6.9
6/1/1991,9.67,7,6.9
7/1/1991,9.5,7.1,6.8
8/1/1991,9.15,6.8,6.9
9/1/1991,8.92,7.4,6.9
10/1/1991,8.91,6.7,7
11/1/1991,8.7,6.2,7
12/1/1991,8.35,6.2,7.3
1/1/1992,8.68,5.2,7.3
2/1/1992,8.83,4.9,7.4
3/1/1992,8.98,6.1,7.4
4/1/1992,8.85,6.1,7.4
5/1/1992,8.6,6,7.6
6/1/1992,8.43,5.6,7.8
7/1/1992,8.05,5.3,7.7
8/1/1992,8.01,5.2,7.6
9/1/1992,8.02,5,7.6
10/1/1992,8.21,5.1,7.3
11/1/1992,8.29,5.4,7.4
12/1/1992,8.14,5,7.4
1/1/1993,7.86,5.4,7.3
2/1/1993,7.53,5.3,7.1
3/1/1993,7.5,5.4,7
4/1/1993,7.43,4.7,7.1
5/1/1993,7.5,5.3,7.1
6/1/1993,7.34,5.2,7
7/1/1993,7.25,5.3,6.9
8/1/1993,6.97,5.5,6.8
9/1/1993,6.95,4.9,6.7
10/1/1993,6.86,5,6.8
11/1/1993,7.31,4.8,6.6
12/1/1993,7.13,4.5,6.5
1/1/1994,6.97,5.9,6.6
2/1/1994,7.32,5,6.6
3/1/1994,7.8,4.8,6.5
4/1/1994,8.32,5.2,6.4
5/1/1994,8.53,5.3,6.1
6/1/1994,8.46,6.2,6.1
7/1/1994,8.57,6.3,6.1
8/1/1994,8.56,6.1,6
9/1/1994,8.82,6,5.9
10/1/1994,9.03,5.6,5.8
11/1/1994,9.25,6.3,5.6
12/1/1994,9.18,6.6,5.5
1/1/1995,9.13,6.8,5.6
2/1/1995,8.73,7.3,5.4
3/1/1995,8.38,6.8,5.4
4/1/1995,8.26,6.7,5.8
5/1/1995,7.85,6.3,5.6
6/1/1995,7.53,5.8,5.6
7/1/1995,7.79,5.6,5.7
8/1/1995,7.88,6.1,5.7
9/1/1995,7.62,6.3,5.6
10/1/1995,7.45,6.3,5.5
11/1/1995,7.35,6.8,5.6
12/1/1995,7.11,6.4,5.6
1/1/1996,7,6.4,5.6
2/1/1996,7.32,5.3,5.5
3/1/1996,7.69,6.2,5.5
4/1/1996,7.92,6,5.6
5/1/1996,8.03,5.9,5.6
6/1/1996,8.29,6,5.3
7/1/1996,8.19,5.7,5.5
8/1/1996,8.09,5,5.1
9/1/1996,8.16,5.2,5.2
10/1/1996,7.86,5.6,5.2
11/1/1996,7.52,5.2,5.4
12/1/1996,7.64,5,5.4
1/1/1997,7.88,4.7,5.3
2/1/1997,7.65,4.5,5.2
3/1/1997,7.97,4.1,5.2
4/1/1997,8.08,4.7,5.1
5/1/1997,7.94,4.6,4.9
6/1/1997,7.58,4.4,5
7/1/1997,7.43,4.4,4.9
8/1/1997,7.58,4.3,4.8
9/1/1997,7.28,4.2,4.9
10/1/1997,7.21,4.3,4.7
11/1/1997,7.17,3.9,4.6
12/1/1997,6.99,4.4,4.7
1/1/1998,7.12,4,4.6
2/1/1998,7.09,3.9,4.6
3/1/1998,7.08,4.1,4.7
4/1/1998,7.15,4,4.3
5/1/1998,7.07,3.9,4.4
6/1/1998,6.96,3.8,4.5
7/1/1998,6.97,4,4.5
8/1/1998,6.92,4.1,4.5
9/1/1998,6.64,4.1,4.6
10/1/1998,6.83,4,4.5
11/1/1998,6.78,3.5,4.4
12/1/1998,6.83,3.8,4.4
1/1/1999,6.74,3.9,4.3
2/1/1999,6.89,4,4.4
3/1/1999,6.98,4.1,4.2
4/1/1999,6.93,3.9,4.3
5/1/1999,7.23,4,4.2
6/1/1999,7.63,3.9,4.3
7/1/1999,7.7,4,4.3
8/1/1999,7.8,4,4.2
9/1/1999,7.76,4.5,4.2
10/1/1999,7.96,4.2,4.1
11/1/1999,7.75,4.3,4.1
12/1/1999,8.06,4.3,4
1/1/2000,8.25,4.3,4
2/1/2000,8.31,4.3,4.1
3/1/2000,8.23,4.3,4
4/1/2000,8.13,4.4,3.8
5/1/2000,8.62,4.4,4
6/1/2000,8.22,4.8,4
7/1/2000,8.13,4.1,4
8/1/2000,7.99,4.4,4.1
9/1/2000,7.88,4,3.9
10/1/2000,7.68,4,3.9
11/1/2000,7.73,4.2,3.9
